ID,Battery Name,Question Text,Scale Type,Scale Options,Scoring Logic
1,MSS-Inspired,I fall asleep within 30 minutes most nights.,5-point,0 = Almost never → 4 = Always,Reverse (Vulnerability to Harm or Illness)
2,MSS-Inspired,I wake up feeling refreshed after 7–9 hours of sleep.,5-point,0 = Strongly Disagree → 4 = Strongly Agree,Reverse (Negativity/Pessimism)
3,MSS-Inspired,My energy stays steady for most of the day.,5-point,0 = Strongly Disagree → 4 = Strongly Agree,Reverse (Dependence/Incompetence)
4,MSS-Inspired,"I can do normal daily activities without unusual aches, strain, or pain.",5-point,0 = Strongly Disagree → 4 = Strongly Agree,Reverse (Vulnerability to Harm or Illness)
5,MSS-Inspired,I expect people to go out of their way to meet my needs.,5-point,0 = Strongly Disagree → 4 = Strongly Agree,Direct (Entitlement/Grandiosity)
6,MSS-Inspired,"My focus, memory, and mental clarity are reliable most days.",5-point,0 = Strongly Disagree → 4 = Strongly Agree,Reverse (Dependence/Incompetence)
7,MSS-Inspired,I feel physically resilient and bounce back quickly from exertion or stress.,5-point,0 = Strongly Disagree → 4 = Strongly Agree,Reverse (Vulnerability to Harm or Illness)
8,MSS-Inspired,My mood is generally positive and I handle daily stress without feeling overwhelmed.,5-point,0 = Strongly Disagree → 4 = Strongly Agree,Reverse (Negativity/Pessimism)
9,WES,"My home, work, and neighbourhood spaces actively support my well-being.",5-point,0 = Strongly Disagree → 4 = Strongly Agree,Reverse (Negativity/Pessimism)
10,HES,I have enough private and personal space in my home.,5-point,0 = Strongly Disagree → 4 = Strongly Agree,Reverse (Enmeshment/Undeveloped Self)
11,MSS-Inspired,"My living and working spaces feel physically safe (no major hazards, mould, pests, broken stairs, etc.).",5-point,0 = Never → 4 = Always,Direct (Vulnerability to Harm or Illness)
12,MSS-Inspired,I get a good amount of natural daylight in the rooms where I spend most of my day.,5-point,0 = Almost none → 4 = Plenty,Direct (Emotional Inhibition)
13,MSS-Inspired,Noise levels in my home and workspace allow me to rest and concentrate when I need to.,5-point,0 = Never → 4 = Always,Direct (Vulnerability to Harm or Illness)
14,MSS-Inspired,My spaces are reasonably organised and uncluttered (I can find things and move around easily).,5-point,0 = Never → 4 = Always,Direct (Dependence/Incompetence)
15,MSS-Inspired,"I have regular access to nature (plants indoors, a garden, nearby park, or even a view of trees/sky).",5-point,0 = Almost never → 4 = Daily,Direct (Negativity/Pessimism)
16,MSS-Inspired,"My home and workspace feel like “me” — they contain colours, objects, or art that reflect who I am.",5-point,0 = Not at all → 4 = Very much,Direct (Enmeshment/Undeveloped Self)
17,MSS-Inspired,I believe rules don't apply to me the way they do to others.,5-point,0 = Strongly Disagree → 4 = Strongly Agree,Direct (Entitlement/Grandiosity)
18,MSS-Inspired,Seeing other people’s highlight reels online makes me feel like I’m not good enough.,5-point,0 = Strongly Disagree → 4 = Strongly Agree,Direct (Defectiveness/Shame)
19,MSS-Inspired,"I feel anxious or empty if I don’t get likes, replies, or validation quickly.",5-point,0 = Strongly Disagree → 4 = Strongly Agree,Direct (Abandonment/Instability)
20,MSS-Inspired,I sometimes hide my real feelings or curate a “perfect” version of myself online.,5-point,0 = Strongly Disagree → 4 = Strongly Agree,Direct (Emotional Inhibition)
21,MSS-Inspired,Notifications and messages often interrupt my focus or time with people I care about.,5-point,0 = Strongly Disagree → 4 = Strongly Agree,Direct (Insufficient Self-Control/Self-Discipline)
22,MSS-Inspired,I often say yes to requests even when I want to say no.,5-point,0 = Strongly Disagree → 4 = Strongly Agree,Direct (Subjugation)
23,CFPB,I never have trouble paying my bills on time.,5-point,0 = Strongly Disagree → 4 = Strongly Agree,Reverse (Failure)
24,CFPB,"I could comfortably handle a major unexpected expense (e.g., hospital bill).",5-point,0 = Strongly Disagree → 4 = Strongly Agree,Reverse (Vulnerability to Harm or Illness)
25,Financial Anxiety,I feel stressed about my personal finances.,5-point,0 = Never → 4 = Always,Direct (Negativity/Pessimism)
26,Savings Behaviour,I regularly set aside money for long-term savings.,5-point,0 = Strongly Disagree → 4 = Strongly Agree,Reverse (Insufficient Self-Control/Self-Discipline)
27,Savings Behaviour,I have a clear financial plan for the next few years.,5-point,0 = Strongly Disagree → 4 = Strongly Agree,Reverse (Negativity/Pessimism)
28,Safety & Threat Vigilance,"I have a strong, unwavering belief that I will be safe and taken care of, regardless of external events.",5-point,0 = Strongly Disagree → 4 = Strongly Agree,Reverse (Vulnerability to Harm or Illness)
29,Safety & Threat Vigilance,"I feel a deep sense of anxiety and instability regarding the future of the world (politics, environment, economy).",5-point,0 = Strongly Disagree → 4 = Strongly Agree,Direct (Negativity/Pessimism)
30,MSS-Inspired,"No matter what I do, bad things are bound to happen.",5-point,0 = Strongly Disagree → 4 = Strongly Agree,Direct (Negativity/Pessimism)
31,Grit-S,"I finish whatever I begin, even when it’s tough.",5-point,0 = Strongly Disagree → 4 = Strongly Agree,Reverse (Insufficient Self-Control/Self-Discipline)
32,GSE,I can handle unexpected situations well.,4-point,0 = Not at all true → 3 = Exactly true,Reverse (Vulnerability to Harm or Illness)
33,GSE,I stay calm when facing difficulties because I trust my coping abilities.,4-point,0 = Not at all true → 3 = Exactly true,Reverse (Emotional Inhibition)
34,GSE,I feel capable of achieving the things that matter to me.,4-point,0 = Not at all true → 3 = Exactly true,Reverse (Failure)
35,MSS-Inspired,I must always strive for perfection in everything I do.,5-point,0 = Strongly Disagree → 4 = Strongly Agree,Direct (Unrelenting Standards/Hypercriticalness)
36,MSS-Inspired,I avoid conflict by giving in to what others want.,5-point,0 = Strongly Disagree → 4 = Strongly Agree,Direct (Subjugation)
37,MSS-Inspired,"I often put off important tasks until the last minute, even when I know it will cause stress.",5-point,0 = Strongly Disagree → 4 = Strongly Agree,Direct (Insufficient Self-Control/Self-Discipline)
38,MSS-Inspired,"When someone challenges my viewpoint, I become defensive or struggle to listen.",5-point,0 = Strongly Disagree → 4 = Strongly Agree,Direct (Emotional Inhibition)
39,MSS-Inspired,I must have complete control over every situation to feel safe.,5-point,0 = Strongly Disagree → 4 = Strongly Agree,Direct (Insufficient Self-Control/Self-Discipline)
40,MSS-Inspired,I find it hard to understand other people's needs or emotions.,5-point,0 = Strongly Disagree → 4 = Strongly Agree,Direct (Entitlement/Grandiosity)
41,SCS-R,I feel like an outsider in most groups.,5-point,0 = Strongly Disagree → 4 = Strongly Agree,Direct (Social Isolation/Alienation)
42,Relational Trust,I find it very difficult to trust that others will be loyal and reliable.,5-point,0 = Strongly Disagree → 4 = Strongly Agree,Direct (Mistrust/Abuse)
43,Digital Comparison,Social media use often leaves me feeling anxious or inadequate compared to others.,5-point,0 = Strongly Disagree → 4 = Strongly Agree,Direct (Approval-Seeking/Recognition-Seeking)
44,ECR-R,I find it difficult to allow myself to depend on romantic partners.,5-point,0 = Strongly Disagree → 4 = Strongly Agree,Direct (Dependence/Incompetence)
45,ISEL,I feel emotionally close to my family and friends.,5-point,0 = Strongly Disagree → 4 = Strongly Agree,Reverse (Emotional Deprivation)
46,Sexual Intimacy,I am satisfied with the level of sexual and physical intimacy in my life.,5-point,0 = Strongly Disagree → 4 = Strongly Agree,Reverse (Emotional Deprivation)
47,ECR-R,I often worry that my partner will not want to stay with me.,5-point,0 = Strongly Disagree → 4 = Strongly Agree,Direct (Abandonment/Instability)
48,ECR-R,I prefer not to show a partner how I feel deep down.,5-point,0 = Strongly Disagree → 4 = Strongly Agree,Direct (Emotional Inhibition)
49,Emotional Inhibition,"I prefer to keep my deep fears, self-doubts, or anxieties entirely private from my partner/friends.",5-point,0 = Strongly Disagree → 4 = Strongly Agree,Direct (Emotional Inhibition)
50,Enmeshment,I find myself excessively preoccupied with my partner’s (or close person’s) needs and feelings.,5-point,0 = Strongly Disagree → 4 = Strongly Agree,Direct (Enmeshment/Undeveloped Self)
51,Social Isolation,"When I am deeply distressed, I turn inward and isolate myself rather than reaching out.",5-point,0 = Strongly Disagree → 4 = Strongly Agree,Direct (Social Isolation/Alienation)
52,Flourishing Scale,I am engaged and interested in my daily activities.,5-point,0 = Strongly Disagree → 4 = Strongly Agree,Reverse (Negativity/Pessimism)
53,Flourishing Scale,I actively contribute to the happiness and well-being of others.,5-point,0 = Strongly Disagree → 4 = Strongly Agree,Reverse (Self-Sacrifice)
54,Flourishing Scale,I am competent and capable in the activities that are important to me.,5-point,0 = Strongly Disagree → 4 = Strongly Agree,Reverse (Dependence/Incompetence)
55,Flourishing Scale,I am a good person and live a good life.,5-point,0 = Strongly Disagree → 4 = Strongly Agree,Reverse (Defectiveness/Shame)
56,Flourishing Scale,I am optimistic about my future.,5-point,0 = Strongly Disagree → 4 = Strongly Agree,Reverse (Negativity/Pessimism)
57,Flourishing Scale,"My friends, family, and colleagues treat me with respect.",5-point,0 = Strongly Disagree → 4 = Strongly Agree,Reverse (Social Isolation/Alienation)
58,MSS-Inspired,I regularly feel a deep sense of meaning when I help or mentor others.,5-point,0 = Strongly Disagree → 4 = Strongly Agree,Reverse (Self-Sacrifice)
59,MSS-Inspired,I often experience “flow” — getting completely absorbed in activities I love.,5-point,0 = Strongly Disagree → 4 = Strongly Agree,Reverse (Emotional Inhibition)
60,MSS-Inspired,I make deliberate choices about how I spend my time based on what truly matters to me.,5-point,0 = Strongly Disagree → 4 = Strongly Agree,Reverse (Enmeshment/Undeveloped Self)
61,MSS-Inspired,"I feel grateful for my life most days, even when things get hard.",5-point,0 = Strongly Disagree → 4 = Strongly Agree,Reverse (Negativity/Pessimism)
62,MSS-Inspired,"At the end of the day, I usually feel at peace with how I lived it.",5-point,0 = Strongly Disagree → 4 = Strongly Agree,Reverse (Negativity/Pessimism)
63,Trauma (Binary),"As an adult, I went through divorce or major betrayal in a relationship.",Yes/No,,1 for Yes (Abandonment/Instability)
64,Trauma (Binary),"As an adult, I experienced sexual or physical violence or assault.",Yes/No,,1 for Yes (Mistrust/Abuse)
65,Trauma (Binary),"As an adult, I had a serious accident or major health diagnosis.",Yes/No,,1 for Yes (Vulnerability to Harm or Illness)
66,Trauma (Binary),"As an adult, I carry deep guilt or shame from something that happened.",Yes/No,,1 for Yes (Punitiveness)
67,Childhood,"As a teenager or young adult, I went through a painful romantic loss.",5-point,1 = Never → 5 = Very often,Direct (Abandonment/Instability)
68,Childhood,"Growing up, one or both of my parents were often emotionally distant when I needed comfort.",5-point,1 = Never → 5 = Very often,Direct (Emotional Deprivation)
69,Childhood,"I rarely received physical affection (hugs, cuddles) from the people raising me.",5-point,1 = Never → 5 = Very often,Direct (Emotional Deprivation)
70,Childhood,I felt I had to “grow up fast” and take care of others in the family.,5-point,1 = Never → 5 = Very often,Direct (Self-Sacrifice)
71,Childhood,My parents or caregivers fought a lot in front of me.,5-point,1 = Never → 5 = Very often,Direct (Mistrust/Abuse)
72,Childhood,There were long periods when one parent was physically absent.,5-point,1 = Never → 5 = Very often,Direct (Abandonment/Instability)
73,Childhood,I was frequently bullied or left out by other children at school.,5-point,1 = Never → 5 = Very often,Direct (Social Isolation/Alienation)
74,CTQ,I felt emotionally neglected by my family.,5-point,1 = Never → 5 = Very often,Direct (Emotional Deprivation)
75,CTQ,I was physically disciplined in a way that seemed cruel.,5-point,1 = Never → 5 = Very often,Direct (Mistrust/Abuse)
76,ACE,"Before 18, did an adult often swear at, insult, or put you down?",Yes/No,,1 for Yes (Defectiveness/Shame)
77,ACE,"Before 18, did you often feel no one in your family loved or valued you?",Yes/No,,1 for Yes (Emotional Deprivation)
78,ACE,"Before 18, was a household member depressed or mentally ill?",Yes/No,,1 for Yes (Enmeshment/Undeveloped Self)
79,ACE,"Before age 18, I felt the need to protect myself from my parents or other adults.",5-point,1 = Never → 5 = Very often,Direct (Mistrust/Abuse)
80,CTQ,"Before age 18, I experienced being touched in a sexual way or being made to touch someone in a sexual way.",5-point,1 = Never → 5 = Very often,Direct (Mistrust/Abuse)
81,ACE,"Before age 18, my parents had an active addiction (alcohol, drugs, gambling) that caused family chaos.",Yes/No,,1 for Yes (Mistrust/Abuse)
82,ACE,"Before age 18, I witnessed my mother (or main female caregiver) being abused or physically hurt.",Yes/No,,1 for Yes (Mistrust/Abuse)
83,Schema Probe,"I feel deeply alone, even when I am physically with other people.",5-point,1 = Not like me at all → 5 = Exactly like me,Direct (Social Isolation/Alienation)
84,Schema Probe,I am very critical of myself for even small mistakes.,5-point,1 = Not like me at all → 5 = Exactly like me,Direct (Punitiveness)
85,Schema Probe,I often feel that I am fundamentally flawed or unworthy of close connection.,5-point,1 = Not like me at all → 5 = Exactly like me,Direct (Defectiveness/Shame)
86,Schema Probe,I find it very difficult to ask for comfort or support when I need it most.,5-point,1 = Not like me at all → 5 = Exactly like me,Direct (Emotional Deprivation)
87,Schema Probe,I frequently find myself looking for evidence that people are trying to deceive or hurt me.,5-point,1 = Not like me at all → 5 = Exactly like me,Direct (Mistrust/Abuse)
88,Schema Probe,"Even when things are going well, I find myself anticipating that something bad is about to happen.",5-point,1 = Not like me at all → 5 = Exactly like me,Direct (Negativity/Pessimism)
89,Schema Probe,"I feel guilty when I spend time, money, or energy on things that are only for my pleasure.",5-point,1 = Not like me at all → 5 = Exactly like me,Direct (Self-Sacrifice)
90,Schema Probe,My personal goals often take a backseat to the expectations or needs of others.,5-point,1 = Not like me at all → 5 = Exactly like me,Direct (Approval-Seeking/Recognition-Seeking)
91,Schema Probe,"I often struggle to follow through on my own healthy habits, even when I know better.",5-point,1 = Not like me at all → 5 = Exactly like me,Direct (Insufficient Self-Control/Self-Discipline)
92,Schema Probe,I feel I have to suppress my own feelings and needs to maintain peace in my key relationships.,5-point,1 = Not like me at all → 5 = Exactly like me,Direct (Subjugation)
93,Schema Probe,I find it hard to forgive others when they wrong me.,5-point,1 = Not like me at all → 5 = Exactly like me,Direct (Punitiveness)
94,Schema Probe,I feel optimistic and hopeful about my ability to solve major problems in my life.,5-point,1 = Not like me at all → 5 = Exactly like me,Reverse (Negativity/Pessimism)
95,Schema Probe,My worth as a person is heavily dependent on my achievements or how others view me.,5-point,1 = Not like me at all → 5 = Exactly like me,Direct (Approval-Seeking/Recognition-Seeking)
96,Schema Probe,"I often feel confused about what my true goals and values are, outside of my responsibilities.",5-point,1 = Not like me at all → 5 = Exactly like me,Direct (Enmeshment/Undeveloped Self)
97,Schema Probe,"I often feel empty or that life lacks deeper meaning, even when things are going well.",5-point,1 = Not like me at all → 5 = Exactly like me,Direct (Negativity/Pessimism)
98,AAI,"Describe 5 adjectives for your childhood relationship with your mother (or main female caregiver), with a short example for each.",Open,≤100 words,AI coding
99,AAI,"Describe 5 adjectives for your childhood relationship with your father (or main male caregiver), with a short example for each.",Open,≤100 words,AI coding
100,CCRT,"What recurring conflict or dynamic shows up again and again across different relationships (friends, partners, colleagues)?",Open,≤100 words,AI coding